fechaEscritura,address,baseGravable,PREAUSO,precio_metro
2021-12-01 23:00:00,AC 80 100 52 NV 1 LC 101,1361569000,30.73,44307484.54279206
2021-10-25 22:00:00,AC 80 100 52 NV 1 LC 45,751205000,33.05,22729349.470499247
2024-03-27 00:00:00,AC 80 100 52 NV 1 LC 61 (DIRECCION CATASTRAL),700000000,46.05,15200868.621064061
2021-08-17 22:00:00,AC 80 100 52 NV 1 LC 68,1593900000,35.16,45332764.50511946
2022-12-06 05:00:00,AC 80 100 52 NV 1 LC 68,1017736000,35.16,28945847.554038685
2023-11-09 00:00:00,AC 80 100 52 NV 2 LC 103 (DIRECCION CATASTRAL),94500000,47.22,2001270.6480304955
2022-11-07 23:00:00,AC 80 100 52 NV 2 LC 125,914572000,40.6,22526403.9408867
2023-10-30 00:00:00,AC 80 100 52 NV 2 LC 141 (DIRECCION CATASTRAL),743663340,49.77,14941999.999999998
2023-06-16 00:00:00,AC 80 100 52 NV 2 LC 26 (DIRECCION CATASTRAL),165000000,37.03,4455846.610856063
2022-08-04 22:00:00,AC 80 100 52 NV 2 LC 36,395290000,33.59,11768085.739803512
2024-04-04 00:00:00,AC 80 100 52 NV 2 LC 38 (DIRECCION CATASTRAL),382200000,32.58,11731123.388581952
2020-10-26 05:00:00,AC 80 100 52 NV 2 LC 44,355000000,25.11,14137793.70768618
2022-12-20 05:00:00,AC 80 100 52 NV 2 LC 48,540000000,50.01,10797840.431913618
2023-01-27 05:00:00,AC 80 100 52 NV 2 LC 5,350000000,31.18,11225144.323284157
2022-06-02 22:00:00,AC 80 100 52 NV 2 LC 61,366825000,30.94,11856011.6354234
2023-11-07 00:00:00,AC 80 100 52 NV 2 LC 87 (DIRECCION CATASTRAL),264000000,27.84,9482758.620689655
2020-08-03 22:00:00,AC 80 100 52 NV 2 LC 99,460000000,34.1,13489736.070381232
2021-09-15 22:00:00,AC 80 100 52 NV 2 LC 99,480000000,34.1,14076246.33431085
2020-07-14 22:00:00,AC 80 100 52 NV 3 LC 14,699364000,21.68,32258487.08487085
2022-06-07 22:00:00,AC 80 100 52 NV 3 LC 21,530000000,21.48,24674115.45623836
2021-02-07 23:00:00,AC 80 100 52 NV 3 LC 21,700000000,21.48,32588454.376163874
2022-06-29 22:00:00,AC 80 100 52 NV 3 LC 22,710000000,21.48,33054003.724394783
2024-04-05 00:00:00,AC 80 100 52 NV 3 LC 24 (DIRECCION CATASTRAL),650000000,28.56,22759103.641456585
2020-08-20 05:00:00,AC 80 100 52 NV 3 LC 25,943707000,30.69,30749657.869012706
2020-09-06 22:00:00,AC 80 100 52 NV 3 LC 39,545000000,19.36,28150826.446280994
